Loan_ID,Issue_Date,Loan_Amount,Interest_Rate,Term,Annual_Income,Employment_Length,Purpose,Loan_Status
CST126,6/6/2022,204041,18.5,60 months,94327,1-3 years,Medical,Fully Paid
CST127,7/15/2020,272455,13.18,36 months,119437,10+ years,Medical,Charged Off
CST128,7/10/2018,108355,8.74,36 months,29258,5-10 years,Home Improvement,Late
CST129,12/8/2021,240796,20.79,36 months,110527,10+ years,Credit Card,Fully Paid
CST130,11/18/2019,219176,22.98,36 months,180392,3-5 years,Car Loan,Fully Paid
CST131,2/23/2021,189779,13.29,36 months,55377,5-10 years,Small Business,Current
CST132,7/27/2018,352449,19.25,36 months,166718,5-10 years,Education,Current
CST133,10/27/2015,426909,13.69,60 months,113893,< 1 year,Car Loan,Fully Paid
CST134,2/13/2018,470148,15.29,36 months,25881,1-3 years,Home Improvement,Fully Paid
CST135,10/19/2019,263795,21.14,36 months,101572,< 1 year,Vacation,Fully Paid
CST136,7/30/2022,491232,7.96,60 months,29924,3-5 years,Small Business,Charged Off
CST137,10/18/2022,397752,15.78,60 months,127829,10+ years,Car Loan,Fully Paid
CST138,9/23/2023,161730,10.26,36 months,178752,3-5 years,Debt Consolidation,Fully Paid
CST139,3/19/2022,351622,12.45,36 months,93263,10+ years,Education,Fully Paid
CST140,7/27/2021,389681,17.78,36 months,123829,10+ years,Small Business,Fully Paid
CST141,3/8/2023,154503,6.98,36 months,65846,< 1 year,Medical,Fully Paid
CST142,1/7/2018,135523,16.89,60 months,167599,1-3 years,Education,Fully Paid
CST143,10/5/2019,7747,11.46,36 months,18822,10+ years,Home Improvement,Fully Paid
CST144,3/1/2020,128855,18.22,36 months,118259,< 1 year,Vacation,Fully Paid
CST145,4/7/2021,457366,8.98,60 months,142085,5-10 years,Education,Charged Off
CST146,2/15/2023,70725,19.38,36 months,177652,3-5 years,Credit Card,Fully Paid
CST147,7/16/2023,134981,17.8,60 months,147769,5-10 years,Small Business,Fully Paid
CST148,9/10/2023,89654,23.5,36 months,107432,1-3 years,Small Business,Current
CST149,11/12/2016,433989,22.45,36 months,46156,5-10 years,Debt Consolidation,Charged Off
CST150,10/10/2020,386490,11.46,36 months,56889,3-5 years,Medical,Fully Paid
CST151,11/21/2020,72435,6.98,36 months,107059,< 1 year,Small Business,Charged Off
CST152,9/15/2023,324030,17.97,36 months,38157,3-5 years,Education,Fully Paid
CST153,3/3/2021,333947,17.05,60 months,25149,3-5 years,Credit Card,Fully Paid
CST154,11/1/2023,36551,6.98,36 months,70783,5-10 years,Education,Fully Paid
CST155,2/14/2015,383360,8.65,36 months,98765,3-5 years,Small Business,Current
CST156,10/13/2022,278538,16.73,36 months,199710,10+ years,Debt Consolidation,Fully Paid
CST157,1/2/2016,336236,22.46,60 months,199465,3-5 years,Car Loan,Fully Paid
CST158,11/2/2019,8890,22.36,36 months,24120,< 1 year,Medical,Current
CST159,7/7/2016,46606,9.15,60 months,65864,< 1 year,Small Business,Fully Paid
CST160,6/8/2021,494492,13.23,36 months,58987,5-10 years,Debt Consolidation,Late
CST161,10/16/2019,261840,7.26,60 months,167297,1-3 years,Home Improvement,Fully Paid
CST162,4/21/2019,478254,14.71,36 months,124881,< 1 year,Car Loan,Fully Paid
CST163,1/21/2021,354457,19.68,36 months,109097,10+ years,Car Loan,Fully Paid
CST164,9/23/2021,146699,20.32,36 months,160082,1-3 years,Vacation,Current
CST165,2/12/2016,275936,15.23,36 months,44198,1-3 years,Medical,Charged Off
CST166,6/19/2020,244931,8.18,36 months,161307,5-10 years,Home Improvement,Fully Paid
CST167,7/31/2021,244629,13.17,60 months,87895,1-3 years,Debt Consolidation,Current
CST168,2/7/2018,210041,22.81,60 months,139642,3-5 years,Credit Card,Current
CST169,6/18/2017,179073,10.52,60 months,163582,3-5 years,Home Improvement,Fully Paid
CST170,8/31/2021,212624,12.1,36 months,174083,10+ years,Vacation,Fully Paid
CST171,3/19/2023,422113,19.57,36 months,133142,3-5 years,Education,Charged Off
CST172,6/15/2023,73148,19.34,36 months,117781,10+ years,Home Improvement,Fully Paid
CST173,10/1/2015,257801,22.46,60 months,22978,< 1 year,Vacation,Fully Paid
CST174,10/29/2016,129243,13.29,60 months,171734,1-3 years,Small Business,Fully Paid
CST175,11/10/2021,256995,15.51,60 months,169533,1-3 years,Medical,Current
CST176,7/14/2017,387318,14.68,36 months,24757,< 1 year,Vacation,Fully Paid
CST177,12/11/2020,159555,22.74,36 months,39952,5-10 years,Medical,Current
CST178,6/11/2015,391502,19.96,60 months,184668,< 1 year,Medical,Current
CST179,10/18/2022,53555,21.05,60 months,110628,1-3 years,Small Business,Fully Paid
CST180,8/19/2022,261508,8.83,36 months,197143,10+ years,Vacation,Fully Paid
CST181,6/12/2017,284303,20.36,36 months,87891,1-3 years,Credit Card,Current
CST182,1/14/2020,377654,14.08,36 months,98088,3-5 years,Education,Charged Off
CST183,11/8/2019,111530,6.91,36 months,64005,1-3 years,Education,Fully Paid
CST184,10/30/2021,85077,7.55,36 months,91278,< 1 year,Vacation,Fully Paid
CST185,5/1/2023,303064,18.36,60 months,65538,1-3 years,Medical,Fully Paid
CST186,1/2/2023,490283,13.01,36 months,139598,1-3 years,Education,Current
CST187,1/15/2017,465337,21.69,60 months,172047,3-5 years,Debt Consolidation,Fully Paid
CST188,6/25/2018,205551,19.35,36 months,37642,5-10 years,Debt Consolidation,Fully Paid
CST189,1/4/2018,487691,6.88,60 months,112682,3-5 years,Education,Current
CST190,1/22/2023,286601,18.52,36 months,145554,10+ years,Car Loan,Fully Paid
CST191,5/8/2021,464773,9.87,60 months,127862,1-3 years,Vacation,Late
CST192,3/10/2021,213261,13.9,36 months,168394,5-10 years,Debt Consolidation,Fully Paid
CST193,2/1/2020,245181,17.43,36 months,26242,10+ years,Car Loan,Fully Paid
CST194,12/26/2023,346097,21.77,60 months,38061,5-10 years,Car Loan,Fully Paid
CST195,3/9/2017,320139,14.48,60 months,156962,3-5 years,Home Improvement,Charged Off
CST196,6/19/2023,176829,20.65,36 months,125607,1-3 years,Debt Consolidation,Fully Paid
CST197,7/27/2015,276836,20.2,36 months,168953,1-3 years,Small Business,Fully Paid
CST198,10/2/2020,443974,13.75,36 months,45669,< 1 year,Credit Card,Charged Off
CST199,4/11/2018,470625,15.27,60 months,140407,< 1 year,Debt Consolidation,Charged Off
CST200,11/11/2021,207283,18.76,36 months,188173,3-5 years,Vacation,Current
CST201,12/23/2017,201769,7.05,36 months,18427,< 1 year,Medical,Fully Paid
CST202,11/20/2015,42065,22.09,60 months,81905,3-5 years,Debt Consolidation,Current
CST203,1/30/2016,228165,19.97,60 months,199523,< 1 year,Car Loan,Current
CST204,1/20/2021,104299,10.86,60 months,198668,5-10 years,Education,Fully Paid
CST205,6/14/2016,430822,23.67,36 months,96752,< 1 year,Education,Charged Off
CST206,12/11/2018,16534,9.64,36 months,144540,3-5 years,Debt Consolidation,Charged Off
CST207,4/21/2016,492879,22.5,36 months,62500,5-10 years,Debt Consolidation,Current
CST208,6/21/2016,45397,12.18,60 months,103719,3-5 years,Debt Consolidation,Fully Paid
CST209,9/11/2015,262750,19.86,36 months,87670,5-10 years,Medical,Fully Paid
CST210,5/6/2019,358531,14.49,36 months,116873,3-5 years,Medical,Fully Paid
CST211,2/3/2023,268160,19.39,36 months,40272,5-10 years,Medical,Late
CST212,7/14/2023,488005,9.23,60 months,21310,3-5 years,Education,Fully Paid
CST213,1/30/2021,60591,11.22,60 months,161542,< 1 year,Education,Fully Paid
CST214,3/13/2015,225884,8.25,36 months,40248,5-10 years,Car Loan,Current
CST215,5/8/2017,28247,21.64,36 months,151413,10+ years,Home Improvement,Late
CST216,5/18/2017,29300,11.69,60 months,18580,1-3 years,Credit Card,Current
CST217,7/27/2018,472281,18.65,60 months,130830,1-3 years,Vacation,Charged Off
CST218,6/27/2019,87798,20.85,36 months,26855,1-3 years,Debt Consolidation,Current
CST219,7/4/2021,14268,22.27,36 months,107888,5-10 years,Medical,Fully Paid
CST220,10/7/2017,353951,8.36,36 months,106965,10+ years,Debt Consolidation,Fully Paid
CST221,8/28/2017,279329,22.13,36 months,78907,3-5 years,Education,Fully Paid
CST222,9/7/2017,199776,9.95,60 months,107654,< 1 year,Vacation,Fully Paid
CST223,5/11/2016,222851,19.4,60 months,119291,5-10 years,Debt Consolidation,Charged Off
CST224,9/18/2016,437315,19.25,60 months,118079,1-3 years,Education,Current
CST225,8/17/2015,406787,6.65,60 months,147668,3-5 years,Medical,Fully Paid
CST226,9/21/2018,241584,10.36,36 months,140804,5-10 years,Small Business,Fully Paid
CST227,11/15/2022,43044,15.11,36 months,44923,< 1 year,Medical,Fully Paid
CST228,6/28/2018,318358,13.85,36 months,56721,5-10 years,Medical,Fully Paid
CST229,9/18/2017,459444,22.58,60 months,186498,1-3 years,Debt Consolidation,Current
CST230,12/15/2023,381896,12.8,36 months,25952,3-5 years,Credit Card,Fully Paid
CST231,9/28/2018,53984,22.9,36 months,15486,3-5 years,Small Business,Charged Off
CST232,1/13/2020,307918,14.54,36 months,77432,1-3 years,Small Business,Fully Paid
CST233,6/25/2017,269712,23.38,60 months,171492,1-3 years,Debt Consolidation,Fully Paid
CST234,11/14/2022,125151,19.4,36 months,123150,3-5 years,Small Business,Fully Paid
CST235,12/22/2015,460808,21.01,36 months,155299,3-5 years,Credit Card,Charged Off
CST236,12/2/2019,465779,8.34,60 months,186023,3-5 years,Medical,Fully Paid
CST237,2/8/2019,138767,16.76,60 months,145719,5-10 years,Home Improvement,Charged Off
CST238,4/17/2019,129375,9,36 months,134571,1-3 years,Vacation,Current
CST239,10/2/2019,184262,11.71,36 months,47866,10+ years,Home Improvement,Charged Off
CST240,10/29/2023,141330,17.41,60 months,141749,3-5 years,Education,Fully Paid
CST241,5/26/2018,485754,19.21,36 months,69823,< 1 year,Debt Consolidation,Fully Paid
CST242,1/16/2017,306648,7.19,60 months,70020,1-3 years,Vacation,Fully Paid
CST243,9/12/2018,169231,15.79,36 months,17073,3-5 years,Vacation,Current
CST244,8/6/2022,18986,16.39,60 months,180806,3-5 years,Car Loan,Fully Paid
CST245,11/23/2015,66858,7.88,60 months,182983,3-5 years,Credit Card,Fully Paid
CST246,3/8/2016,134312,15.26,60 months,148181,10+ years,Medical,Fully Paid
CST247,3/5/2016,17666,18.99,36 months,21558,1-3 years,Home Improvement,Current
CST248,10/15/2021,305804,7.43,36 months,170611,5-10 years,Car Loan,Fully Paid
CST249,5/14/2016,139633,19.8,36 months,149333,5-10 years,Credit Card,Fully Paid
CST250,12/19/2020,293998,16.59,36 months,103827,1-3 years,Education,Fully Paid
CST251,12/29/2021,331649,21.08,60 months,134411,5-10 years,Home Improvement,Current
CST252,7/31/2015,109488,10.32,36 months,65705,1-3 years,Credit Card,Fully Paid
CST253,12/4/2021,188323,21.08,60 months,145220,3-5 years,Debt Consolidation,Fully Paid
CST254,11/13/2021,289806,8.15,60 months,69508,3-5 years,Education,Fully Paid
CST255,9/19/2015,275536,13.57,60 months,28188,< 1 year,Debt Consolidation,Current
CST256,9/12/2018,35535,9.99,60 months,154006,< 1 year,Small Business,Charged Off
CST257,7/10/2021,476819,21.83,36 months,160924,< 1 year,Debt Consolidation,Fully Paid
CST258,10/13/2021,380713,18.84,36 months,105589,5-10 years,Small Business,Current
CST259,4/8/2019,319400,6.94,60 months,168478,3-5 years,Debt Consolidation,Fully Paid
CST260,2/27/2016,356279,6.67,60 months,43680,5-10 years,Small Business,Fully Paid
CST261,12/9/2020,394622,11.6,36 months,33378,10+ years,Small Business,Fully Paid
CST262,11/20/2020,302366,9.01,60 months,141196,3-5 years,Credit Card,Fully Paid
CST263,11/16/2017,82373,17.53,36 months,54132,10+ years,Education,Fully Paid
CST264,1/8/2018,477791,18.12,60 months,41046,10+ years,Vacation,Fully Paid
CST265,9/19/2018,128684,22.98,60 months,41040,1-3 years,Home Improvement,Fully Paid
CST266,5/20/2022,494570,23.16,36 months,124882,5-10 years,Car Loan,Fully Paid
CST267,8/20/2018,482867,18.03,60 months,40635,5-10 years,Credit Card,Fully Paid
CST268,9/16/2016,461551,6.6,60 months,153978,10+ years,Small Business,Current
CST269,12/14/2017,278109,12.78,36 months,175353,5-10 years,Education,Current
CST270,11/22/2019,29538,15.48,36 months,175635,5-10 years,Small Business,Current
CST271,10/25/2022,375210,15.24,60 months,166526,1-3 years,Small Business,Fully Paid
CST272,1/7/2017,206664,17.06,36 months,123395,1-3 years,Vacation,Charged Off
CST273,1/24/2019,496234,23.31,60 months,47729,3-5 years,Small Business,Fully Paid
CST274,8/3/2016,380396,21.99,60 months,88740,5-10 years,Education,Fully Paid
CST275,11/14/2017,144182,8.41,36 months,140130,3-5 years,Credit Card,Current
CST276,11/19/2019,477525,11.15,36 months,118325,1-3 years,Debt Consolidation,Charged Off
CST277,3/8/2022,163338,21.08,60 months,171707,1-3 years,Car Loan,Fully Paid
CST278,1/17/2018,189064,20.93,60 months,70555,5-10 years,Credit Card,Current
CST279,8/1/2018,219020,11.32,36 months,63484,5-10 years,Medical,Fully Paid
CST280,12/29/2015,103806,19.29,36 months,143188,5-10 years,Debt Consolidation,Fully Paid
CST281,4/9/2023,405126,18.26,60 months,86839,5-10 years,Education,Charged Off
CST282,4/12/2016,378133,14.79,60 months,47841,3-5 years,Small Business,Current
CST283,9/16/2017,95982,10.03,36 months,137845,1-3 years,Home Improvement,Fully Paid
CST284,10/24/2021,126626,22.05,60 months,113604,3-5 years,Car Loan,Fully Paid
CST285,6/7/2017,124176,18.36,60 months,109903,1-3 years,Debt Consolidation,Fully Paid
CST286,3/12/2022,398422,9.46,36 months,90498,3-5 years,Medical,Fully Paid
CST287,7/9/2021,223126,18.83,36 months,127937,10+ years,Education,Late
CST288,3/10/2017,223969,19.48,60 months,113390,5-10 years,Debt Consolidation,Fully Paid
CST289,9/17/2017,127409,22.02,36 months,81557,< 1 year,Small Business,Late
CST290,2/22/2021,28419,10.4,36 months,134882,3-5 years,Education,Fully Paid
CST291,5/5/2023,448852,23.8,60 months,50852,5-10 years,Education,Current
CST292,11/8/2020,258618,9.18,36 months,55047,5-10 years,Home Improvement,Fully Paid
CST293,11/25/2016,250310,17.01,60 months,79693,5-10 years,Car Loan,Current
CST294,7/27/2019,55015,18,36 months,168898,10+ years,Debt Consolidation,Current
CST295,6/27/2019,253550,13.83,36 months,120323,1-3 years,Car Loan,Current
CST296,5/22/2019,127096,14.81,36 months,187950,10+ years,Vacation,Fully Paid
CST297,11/19/2019,112059,22.09,60 months,126577,5-10 years,Education,Current
CST298,6/13/2022,190340,17.79,36 months,47914,< 1 year,Medical,Fully Paid
CST299,1/8/2018,115687,15.2,60 months,122942,10+ years,Vacation,Fully Paid
CST300,11/20/2023,355083,8.75,36 months,62534,5-10 years,Education,Charged Off
CST301,9/18/2017,416357,6.63,60 months,45191,< 1 year,Small Business,Fully Paid
CST302,5/20/2020,216428,8.69,36 months,105170,10+ years,Small Business,Current
CST303,4/9/2018,110878,23.23,36 months,148980,1-3 years,Education,Fully Paid
CST304,11/11/2017,207982,19.87,36 months,29325,1-3 years,Education,Fully Paid
CST305,4/29/2017,454260,23.42,60 months,158656,< 1 year,Education,Fully Paid
CST306,9/28/2020,203286,7.12,60 months,45654,5-10 years,Medical,Current
CST307,11/29/2017,254002,18.4,60 months,190229,5-10 years,Vacation,Late
CST308,7/25/2022,255396,7.28,36 months,180666,10+ years,Home Improvement,Current
CST309,1/1/2021,169899,20.19,60 months,193831,5-10 years,Medical,Late
CST310,8/1/2020,454036,13.17,36 months,47610,5-10 years,Vacation,Fully Paid
CST311,11/12/2015,329767,8.18,60 months,122748,10+ years,Education,Charged Off
CST312,9/3/2018,479950,16.44,36 months,97168,< 1 year,Vacation,Charged Off
CST313,5/16/2019,342594,11.4,60 months,177772,10+ years,Car Loan,Fully Paid
CST314,11/19/2020,360570,18.04,60 months,125157,< 1 year,Medical,Current
CST315,2/3/2021,384989,18.02,36 months,72108,3-5 years,Car Loan,Fully Paid
CST316,7/25/2017,420515,18.84,60 months,78094,1-3 years,Small Business,Fully Paid
CST317,5/10/2022,48585,23.87,60 months,124823,1-3 years,Home Improvement,Fully Paid
CST318,8/6/2015,376369,13.27,60 months,176094,1-3 years,Home Improvement,Fully Paid
CST319,8/15/2022,69044,14.64,60 months,174206,10+ years,Medical,Fully Paid
CST320,1/16/2019,440773,20.58,36 months,16893,3-5 years,Education,Fully Paid
CST321,7/1/2017,447296,16.62,36 months,85098,5-10 years,Credit Card,Charged Off
CST322,2/4/2015,114556,7.15,60 months,74507,1-3 years,Credit Card,Fully Paid
CST323,1/10/2021,7693,21.25,36 months,182518,5-10 years,Home Improvement,Charged Off
CST324,9/15/2019,493219,7.4,36 months,87499,5-10 years,Credit Card,Charged Off
CST325,6/21/2022,362403,9.49,36 months,30922,< 1 year,Car Loan,Late
CST326,4/1/2018,248307,8.29,60 months,59473,1-3 years,Debt Consolidation,Charged Off
CST327,6/1/2021,205235,7.86,60 months,38774,10+ years,Credit Card,Charged Off
CST328,12/25/2015,30939,6.95,60 months,115607,3-5 years,Home Improvement,Current
CST329,5/31/2018,447141,7.46,60 months,28980,10+ years,Debt Consolidation,Current
CST330,9/3/2017,441157,14.24,60 months,76107,1-3 years,Vacation,Fully Paid
CST331,8/31/2017,157906,10.92,60 months,197187,5-10 years,Education,Current
CST332,7/28/2020,23047,8.71,60 months,43401,3-5 years,Vacation,Fully Paid
CST333,12/21/2022,293249,18.03,36 months,69696,3-5 years,Education,Current
CST334,12/14/2022,80766,10.46,36 months,79795,10+ years,Small Business,Fully Paid
CST335,6/1/2023,413923,6.83,60 months,144428,3-5 years,Car Loan,Fully Paid
CST336,8/30/2018,420192,13.82,36 months,188934,1-3 years,Debt Consolidation,Fully Paid
CST337,7/17/2020,49262,11.93,60 months,114637,5-10 years,Small Business,Fully Paid
CST338,8/14/2017,392261,12.08,60 months,163623,< 1 year,Credit Card,Fully Paid
CST339,12/2/2015,290920,14.29,60 months,173757,1-3 years,Education,Fully Paid
CST340,7/16/2016,166152,18.21,36 months,21917,5-10 years,Small Business,Fully Paid
CST341,6/11/2019,133376,17.29,60 months,103957,3-5 years,Debt Consolidation,Fully Paid
CST342,5/17/2022,465058,22.9,36 months,99240,5-10 years,Education,Fully Paid
CST343,2/14/2019,459589,15.56,36 months,158027,3-5 years,Home Improvement,Fully Paid
CST344,2/27/2020,142848,14.77,60 months,92402,1-3 years,Car Loan,Charged Off
CST345,12/15/2021,97787,10.23,36 months,136859,5-10 years,Car Loan,Fully Paid
CST346,4/15/2018,132948,19.72,36 months,180845,10+ years,Debt Consolidation,Fully Paid
CST347,2/19/2018,60016,8.96,36 months,184908,< 1 year,Education,Fully Paid
CST348,5/19/2017,407690,15.09,36 months,97775,10+ years,Car Loan,Fully Paid
CST349,9/16/2023,456269,13.87,36 months,168412,1-3 years,Education,Current
CST350,7/31/2016,26959,18.02,36 months,183611,3-5 years,Home Improvement,Current
CST351,4/21/2019,141602,22.56,36 months,134170,< 1 year,Debt Consolidation,Fully Paid
CST352,9/7/2018,230928,23.07,60 months,39375,5-10 years,Debt Consolidation,Fully Paid
CST353,9/25/2019,386245,9.44,60 months,106620,3-5 years,Small Business,Fully Paid
CST354,10/22/2018,270892,11.08,36 months,89635,3-5 years,Home Improvement,Charged Off
CST355,10/13/2018,233576,20.7,36 months,161326,10+ years,Vacation,Late
CST356,8/18/2022,496314,15.57,36 months,18130,3-5 years,Credit Card,Fully Paid
CST357,11/12/2017,18545,14.43,36 months,127759,5-10 years,Medical,Fully Paid
CST358,12/12/2019,394803,18.94,36 months,108583,10+ years,Small Business,Fully Paid
CST359,6/5/2017,464415,17.03,36 months,63305,10+ years,Vacation,Charged Off
CST360,1/6/2017,170838,23.49,36 months,47547,5-10 years,Home Improvement,Current
CST361,2/22/2023,340674,16.72,36 months,77663,10+ years,Credit Card,Fully Paid
CST362,5/4/2017,360701,14.65,36 months,47348,3-5 years,Debt Consolidation,Fully Paid
CST363,12/20/2019,66087,16,36 months,55663,5-10 years,Car Loan,Fully Paid
CST364,5/27/2019,494055,20.65,36 months,152139,3-5 years,Medical,Current
CST365,9/17/2018,73840,17.22,60 months,18114,3-5 years,Debt Consolidation,Fully Paid
CST366,4/8/2018,123451,17.82,36 months,134931,5-10 years,Debt Consolidation,Fully Paid
CST367,11/30/2022,452600,23.5,36 months,177310,< 1 year,Vacation,Current
CST368,4/12/2018,318149,17.32,36 months,74754,10+ years,Credit Card,Fully Paid
CST369,10/10/2019,444792,13.15,36 months,69133,10+ years,Medical,Fully Paid
CST370,4/18/2022,44353,18.6,60 months,75229,1-3 years,Home Improvement,Fully Paid
CST371,6/9/2023,198075,18.04,60 months,55128,3-5 years,Credit Card,Current
CST372,7/2/2021,219283,6.74,36 months,15100,10+ years,Vacation,Fully Paid
CST373,7/2/2018,319877,14.68,36 months,130819,1-3 years,Debt Consolidation,Late
CST374,1/15/2022,70318,19.5,60 months,155433,10+ years,Medical,Fully Paid
CST375,4/12/2017,246025,15.23,36 months,138583,5-10 years,Vacation,Charged Off
CST376,9/21/2021,487690,20.14,36 months,195202,10+ years,Education,Current
CST377,11/29/2022,421880,14.39,36 months,103666,1-3 years,Car Loan,Charged Off
CST378,6/3/2019,72172,23.71,36 months,138982,5-10 years,Home Improvement,Fully Paid
CST379,8/30/2023,221688,11.63,36 months,67102,1-3 years,Medical,Current
CST380,6/21/2020,261951,8.11,36 months,164921,5-10 years,Debt Consolidation,Fully Paid
CST381,9/7/2015,98264,14.03,60 months,37431,5-10 years,Small Business,Charged Off
CST382,5/22/2016,251458,15.98,60 months,108165,1-3 years,Education,Fully Paid
CST383,7/12/2023,293880,12.61,60 months,31915,< 1 year,Car Loan,Fully Paid
CST384,11/12/2023,230281,10.74,36 months,97696,3-5 years,Credit Card,Fully Paid
CST385,5/3/2019,117859,18.26,60 months,165853,5-10 years,Education,Late
CST386,10/8/2015,379325,13.1,36 months,50187,1-3 years,Debt Consolidation,Fully Paid
CST387,5/28/2015,399070,17.55,36 months,81930,3-5 years,Credit Card,Fully Paid
CST388,6/25/2017,357228,20.13,36 months,39744,< 1 year,Credit Card,Fully Paid
CST389,9/23/2015,436839,19.82,36 months,72620,1-3 years,Home Improvement,Late
CST390,2/28/2022,274536,13.07,60 months,37631,5-10 years,Education,Current
CST391,11/16/2021,322824,16.44,36 months,45671,5-10 years,Small Business,Fully Paid
CST392,10/16/2019,262426,14.37,60 months,142808,1-3 years,Medical,Fully Paid
CST393,3/1/2019,182789,21.74,60 months,160067,5-10 years,Debt Consolidation,Current
CST394,2/2/2015,223164,21.88,36 months,172543,1-3 years,Vacation,Late
CST395,4/12/2019,318003,12.52,36 months,70313,3-5 years,Debt Consolidation,Current
CST396,6/28/2017,130657,8.11,36 months,45507,3-5 years,Home Improvement,Charged Off
CST397,1/22/2018,240167,9.43,60 months,198143,3-5 years,Education,Current
CST398,11/17/2019,162381,12.92,36 months,130156,< 1 year,Medical,Current
CST399,3/22/2022,485671,16.37,36 months,66976,1-3 years,Education,Current
CST400,1/29/2017,199806,17.99,36 months,178963,10+ years,Small Business,Fully Paid
CST401,4/2/2016,75467,12.3,36 months,109551,10+ years,Car Loan,Charged Off
CST402,8/1/2019,188734,18.18,60 months,124241,1-3 years,Car Loan,Current
CST403,11/28/2023,103506,22.91,36 months,118842,5-10 years,Car Loan,Fully Paid
CST404,7/11/2016,114751,17.91,60 months,197782,10+ years,Credit Card,Current
CST405,3/26/2020,386050,9.27,36 months,76657,3-5 years,Vacation,Current
CST406,4/27/2023,410904,16.64,60 months,176085,5-10 years,Car Loan,Fully Paid
CST407,10/26/2019,292486,15.98,36 months,137800,5-10 years,Vacation,Fully Paid
CST408,5/19/2022,173229,21.74,36 months,100553,1-3 years,Credit Card,Fully Paid
CST409,2/16/2021,466079,12.63,36 months,133622,5-10 years,Medical,Current
CST410,9/24/2017,373452,13.9,60 months,47107,5-10 years,Small Business,Fully Paid
CST411,11/29/2016,450299,16.98,36 months,128972,10+ years,Credit Card,Current
CST412,12/2/2019,111081,15.68,36 months,127020,1-3 years,Home Improvement,Fully Paid
CST413,9/26/2017,463949,19.08,36 months,159634,5-10 years,Vacation,Current
CST414,5/18/2019,94045,7.21,36 months,97058,3-5 years,Education,Fully Paid
CST415,1/24/2022,39698,16.36,60 months,110095,5-10 years,Small Business,Charged Off
CST416,11/27/2015,115078,8.63,36 months,177431,1-3 years,Education,Current
CST417,10/18/2017,347767,12.02,60 months,176270,3-5 years,Debt Consolidation,Fully Paid
CST418,12/22/2023,27671,18.08,36 months,30075,5-10 years,Debt Consolidation,Charged Off
CST419,4/24/2018,423400,9.25,60 months,53063,1-3 years,Debt Consolidation,Late
CST420,8/4/2019,360528,11.9,36 months,63178,1-3 years,Debt Consolidation,Fully Paid
CST421,11/8/2020,440323,18.8,36 months,47466,10+ years,Small Business,Fully Paid
CST422,5/26/2017,91202,17.89,36 months,82988,1-3 years,Credit Card,Fully Paid
CST423,6/14/2019,56663,8.09,36 months,159006,3-5 years,Home Improvement,Charged Off
CST424,3/31/2023,20708,16.6,60 months,184918,3-5 years,Car Loan,Charged Off
CST425,11/28/2016,359050,9.08,36 months,172718,3-5 years,Home Improvement,Late
CST426,10/17/2019,316955,10.91,60 months,156232,3-5 years,Credit Card,Current
CST427,12/12/2015,138883,14.54,36 months,69746,5-10 years,Medical,Fully Paid
CST428,5/16/2020,323394,8.41,60 months,36518,10+ years,Vacation,Current
